timestamp,hr_bpm,hr_artifact
2026-08-23 16:09:30,70.5,
2026-08-23 16:09:40,71.0,
2026-08-23 16:09:50,68.5,
2026-08-23 16:10:00,68.5,
2026-08-23 16:10:10,73.5,
2026-08-23 16:10:20,71.0,
2026-08-23 16:10:30,71.0,
2026-08-23 16:10:40,78.0,
2026-08-23 16:10:50,73.0,
2026-08-23 16:11:00,72.0,
2026-08-23 16:11:10,71.0,
2026-08-23 16:11:20,71.0,
2026-08-23 16:11:30,69.0,
2026-08-23 16:11:40,68.0,
2026-08-23 16:11:50,67.0,
2026-08-23 16:12:00,66.0,
2026-08-23 16:12:10,66.0,
2026-08-23 16:12:20,66.0,
2026-08-23 16:12:30,69.5,
2026-08-23 16:12:40,68.0,
2026-08-23 16:12:50,68.0,
2026-08-23 16:13:00,66.0,
2026-08-23 16:13:10,65.0,
2026-08-23 16:13:20,62.0,
2026-08-23 16:13:30,66.0,
2026-08-23 16:13:40,67.5,
2026-08-23 16:13:50,68.0,
2026-08-23 16:14:00,67.0,
2026-08-23 16:14:10,,
2026-08-23 16:14:20,71.0,
2026-08-23 16:14:30,,
2026-08-23 16:14:40,,
2026-08-23 16:14:50,78.5,
2026-08-23 16:15:00,76.0,
2026-08-23 16:15:10,74.5,
2026-08-23 16:15:20,75.0,
2026-08-23 16:15:30,74.5,
2026-08-23 16:15:40,71.0,
2026-08-23 16:15:50,68.5,
2026-08-23 16:16:00,68.5,
2026-08-23 16:16:10,69.0,
2026-08-23 16:16:20,69.0,
2026-08-23 16:16:30,68.0,
2026-08-23 16:16:40,67.0,
2026-08-23 16:16:50,67.5,
2026-08-23 16:17:00,67.0,
2026-08-23 16:17:10,71.5,
2026-08-23 16:17:20,86.0,
2026-08-23 16:17:30,83.5,
2026-08-23 16:17:40,88.0,
2026-08-23 16:17:50,83.5,
2026-08-23 16:18:00,74.5,
2026-08-23 16:18:10,73.5,
2026-08-23 16:18:20,70.5,
2026-08-23 16:18:30,72.5,
2026-08-23 16:18:40,,
2026-08-23 16:18:50,,
2026-08-23 16:19:00,,120.0
2026-08-23 16:19:10,62.5,
2026-08-23 16:19:20,60.5,
2026-08-23 16:19:30,61.0,
2026-08-23 16:19:40,62.0,
2026-08-23 16:19:50,63.5,
2026-08-23 16:20:00,64.0,
2026-08-23 16:20:10,65.5,
2026-08-23 16:20:20,63.5,
2026-08-23 16:20:30,62.5,
2026-08-23 16:20:40,61.5,
2026-08-23 16:20:50,62.0,
2026-08-23 16:21:00,67.0,
2026-08-23 16:21:10,66.0,
2026-08-23 16:21:20,61.5,
2026-08-23 16:21:30,61.5,
2026-08-23 16:21:40,63.0,
2026-08-23 16:21:50,64.0,
2026-08-23 16:22:00,65.5,
2026-08-23 16:22:10,65.0,
2026-08-23 16:22:20,65.5,
2026-08-23 16:22:30,63.5,
2026-08-23 16:22:40,63.0,
2026-08-23 16:22:50,64.5,
2026-08-23 16:23:00,63.5,
2026-08-23 16:23:10,60.5,
2026-08-23 16:23:20,59.5,
2026-08-23 16:23:30,60.0,
2026-08-23 16:23:40,60.5,
2026-08-23 16:23:50,62.0,
2026-08-23 16:24:00,63.0,
2026-08-23 16:24:10,63.5,
2026-08-23 16:24:20,61.5,
2026-08-23 16:24:30,64.0,
2026-08-23 16:24:40,68.0,
2026-08-23 16:24:50,67.0,
2026-08-23 16:25:00,66.0,
2026-08-23 16:25:10,67.0,
2026-08-23 16:25:20,67.5,
2026-08-23 16:25:30,67.0,
2026-08-23 16:25:40,66.0,
2026-08-23 16:25:50,63.5,
2026-08-23 16:26:00,62.0,
2026-08-23 16:26:10,62.5,
2026-08-23 16:26:20,62.5,
2026-08-23 16:26:30,61.5,
2026-08-23 16:26:40,63.0,
2026-08-23 16:26:50,63.0,
2026-08-23 16:27:00,66.0,
2026-08-23 16:27:10,68.0,
2026-08-23 16:27:20,68.0,
2026-08-23 16:27:30,65.5,
2026-08-23 16:27:40,65.0,
2026-08-23 16:27:50,66.0,
2026-08-23 16:28:00,67.0,
2026-08-23 16:28:10,69.0,
2026-08-23 16:28:20,68.0,
2026-08-23 16:28:30,67.0,
2026-08-23 16:28:40,68.0,
2026-08-23 16:28:50,70.5,
2026-08-23 16:29:00,70.5,
2026-08-23 16:29:10,68.5,
2026-08-23 16:29:20,67.5,
2026-08-23 16:29:30,65.5,
2026-08-23 16:29:40,65.5,
2026-08-23 16:29:50,67.5,
2026-08-23 16:30:00,68.0,
2026-08-23 16:30:10,68.5,
2026-08-23 16:30:20,67.0,
2026-08-23 16:30:30,68.0,
2026-08-23 16:30:40,68.0,
2026-08-23 16:30:50,67.5,
2026-08-23 16:31:00,71.5,
2026-08-23 16:31:10,70.0,
2026-08-23 16:31:20,73.5,
2026-08-23 16:31:30,74.0,
2026-08-23 16:31:40,73.5,
2026-08-23 16:31:50,73.0,
2026-08-23 16:32:00,71.0,
2026-08-23 16:32:10,71.0,
2026-08-23 16:32:20,75.0,
2026-08-23 16:32:30,76.0,
2026-08-23 16:32:40,73.0,
2026-08-23 16:32:50,71.5,
2026-08-23 16:33:00,72.0,
2026-08-23 16:33:10,71.0,
2026-08-23 16:33:20,71.0,
2026-08-23 16:33:30,70.5,
2026-08-23 16:33:40,73.0,
2026-08-23 16:33:50,78.0,
2026-08-23 16:34:00,70.5,
2026-08-23 16:34:10,68.0,
2026-08-23 16:34:20,69.0,
2026-08-23 16:34:30,71.5,
2026-08-23 16:34:40,70.0,
2026-08-23 16:34:50,70.0,
2026-08-23 16:35:00,71.5,
2026-08-23 16:35:10,71.5,
2026-08-23 16:35:20,71.5,
2026-08-23 16:35:30,71.5,
2026-08-23 16:35:40,71.5,
2026-08-23 16:35:50,73.0,
2026-08-23 16:36:00,73.5,
2026-08-23 16:36:10,72.0,
2026-08-23 16:36:20,71.5,
2026-08-23 16:36:30,74.5,
2026-08-23 16:36:40,75.5,
2026-08-23 16:36:50,74.5,
2026-08-23 16:37:00,75.0,
2026-08-23 16:37:10,73.0,
2026-08-23 16:37:20,72.0,
2026-08-23 16:37:30,72.0,
2026-08-23 16:37:40,72.0,
2026-08-23 16:37:50,72.0,
2026-08-23 16:38:00,71.5,
2026-08-23 16:38:10,71.5,
2026-08-23 16:38:20,74.0,
2026-08-23 16:38:30,73.5,
2026-08-23 16:38:40,71.5,
2026-08-23 16:38:50,71.5,
2026-08-23 16:39:00,71.5,
2026-08-23 16:39:10,74.0,
2026-08-23 16:39:20,72.0,
2026-08-23 16:39:30,73.5,
2026-08-23 16:39:40,73.5,
2026-08-23 16:39:50,72.5,
2026-08-23 16:40:00,71.0,
2026-08-23 16:40:10,70.0,
2026-08-23 16:40:20,71.5,
2026-08-23 16:40:30,71.5,
2026-08-23 16:40:40,67.0,
2026-08-23 16:40:50,66.0,
2026-08-23 16:41:00,65.0,
2026-08-23 16:41:10,66.0,
2026-08-23 16:41:20,65.0,
2026-08-23 16:41:30,67.5,
2026-08-23 16:41:40,69.0,
2026-08-23 16:41:50,69.0,
2026-08-23 16:42:00,68.0,
2026-08-23 16:42:10,68.0,
2026-08-23 16:42:20,71.0,
2026-08-23 16:42:30,68.5,
2026-08-23 16:42:40,68.5,
2026-08-23 16:42:50,72.0,
2026-08-23 16:43:00,,
2026-08-23 16:43:10,,
2026-08-23 16:43:20,,
2026-08-23 16:43:30,,
2026-08-23 16:43:40,,
2026-08-23 16:43:50,67.0,
2026-08-23 16:44:00,68.5,
2026-08-23 16:44:10,74.5,
2026-08-23 16:44:20,77.0,
2026-08-23 16:44:30,78.0,
2026-08-23 16:44:40,79.0,
2026-08-23 16:44:50,77.5,
2026-08-23 16:45:00,80.0,
2026-08-23 16:45:10,80.5,
2026-08-23 16:45:20,85.5,
2026-08-23 16:45:30,84.5,
2026-08-23 16:45:40,82.0,
2026-08-23 16:45:50,82.0,
2026-08-23 16:46:00,79.0,
2026-08-23 16:46:10,74.0,
2026-08-23 16:46:20,68.0,
2026-08-23 16:46:30,71.0,
2026-08-23 16:46:40,73.0,
2026-08-23 16:46:50,73.5,
2026-08-23 16:47:00,72.0,
2026-08-23 16:47:10,68.5,
2026-08-23 16:47:20,66.5,
2026-08-23 16:47:30,65.0,
2026-08-23 16:47:40,65.5,
2026-08-23 16:47:50,68.0,
2026-08-23 16:48:00,68.5,
2026-08-23 16:48:10,70.0,
2026-08-23 16:48:20,69.5,
2026-08-23 16:48:30,71.5,
2026-08-23 16:48:40,72.5,
2026-08-23 16:48:50,69.0,
2026-08-23 16:49:00,65.0,
2026-08-23 16:49:10,62.5,
2026-08-23 16:49:20,62.0,
2026-08-23 16:49:30,62.0,
2026-08-23 16:49:40,,
2026-08-23 16:49:50,,
2026-08-23 16:50:00,,
2026-08-23 16:50:10,,
