timestamp,steps,hr_bpm,valid,hr_smooth,dHR_dt,cadence_spm,gate_open,is_stress,stress_score,gt_kind
2026-03-04 07:00:00,1,62.0,True,60.72412882367123,-1.8643289864799482,2.0,False,False,0.0,baseline
2026-03-04 07:00:10,0,60.5,True,60.46119323550684,-1.6698507646056984,1.5,False,False,0.0,baseline
2026-03-04 07:00:20,0,60.1,True,60.19178985326025,-1.4753725427314486,1.2000000000000002,False,False,0.0,baseline
2026-03-04 07:00:30,0,59.4,True,59.93768477989037,-1.280894320857247,1.0,False,False,0.0,baseline
2026-03-04 07:00:40,0,59.6,True,59.73986050316887,-1.149714497158855,0.0,False,False,0.0,baseline
2026-03-04 07:00:50,0,58.5,True,59.598679643642186,-1.0958680420345421,0.0,False,False,0.0,baseline
2026-03-04 07:01:00,0,60.5,True,59.45727872472253,-1.1782376891540653,0.0,False,False,0.0,baseline
2026-03-04 07:01:10,0,59.7,True,59.275424259923284,-1.3176945701802074,9.0,False,False,0.0,baseline
2026-03-04 07:01:20,0,59.5,True,59.02280717177792,-1.3339100700458943,20.0,False,False,0.0,baseline
2026-03-04 07:01:30,9,58.2,True,58.69065794559554,-1.0831582006335034,30.0,False,False,0.0,baseline
2026-03-04 07:01:40,11,56.5,True,58.440285043679076,-0.4950755551362047,38.0,False,False,0.0,baseline
2026-03-04 07:01:50,10,57.2,True,58.39662631570913,0.38549449783840045,47.0,False,False,0.0,baseline
2026-03-04 07:02:00,8,57.3,True,58.552405307024024,1.426742205214655,56.0,False,False,0.0,baseline
2026-03-04 07:02:10,9,58.0,True,58.91691851617626,2.420065994412415,56.0,False,False,0.0,baseline
2026-03-04 07:02:20,9,58.7,True,59.43425147802453,3.2524484017265434,55.0,False,False,0.0,baseline
2026-03-04 07:02:30,9,59.6,True,60.073959686210216,3.898334114090345,53.0,False,False,0.0,baseline
2026-03-04 07:02:40,10,60.4,True,60.79266117543094,4.301085035945407,53.0,False,False,0.0,baseline
2026-03-04 07:02:50,8,62.8,True,61.57680619389016,4.549254892362812,52.0,False,False,0.0,baseline
2026-03-04 07:03:00,8,61.4,True,62.390418911331054,4.619919611793076,56.0,False,False,0.0,baseline
2026-03-04 07:03:10,8,62.8,True,63.13576811399379,4.581999504617436,54.0,False,False,0.0,baseline
2026-03-04 07:03:20,13,64.5,True,63.937078668988825,4.4291745529732856,51.0,False,False,0.0,baseline
2026-03-04 07:03:30,7,65.9,True,64.64456900214866,4.128831074443752,54.0,False,False,0.0,baseline
2026-03-04 07:03:40,7,64.6,True,65.35948750233327,3.6844832511786625,50.0,False,False,0.0,baseline
2026-03-04 07:03:50,11,67.0,True,65.98432058624007,3.064930255490979,45.0,False,False,0.0,baseline
2026-03-04 07:04:00,4,67.3,True,66.43987376785357,2.3561989690518064,39.0,False,False,0.0,baseline
2026-03-04 07:04:10,3,67.7,True,66.75207257744265,1.454453225073669,39.0,False,False,0.0,baseline
