timestamp,hr_bpm
2026-03-04 07:00:00,62.0
2026-03-04 07:00:10,60.5
2026-03-04 07:00:20,60.1
2026-03-04 07:00:30,59.4
2026-03-04 07:00:40,59.6
2026-03-04 07:00:50,58.5
2026-03-04 07:01:00,60.5
2026-03-04 07:01:10,59.7
2026-03-04 07:01:20,59.5
2026-03-04 07:01:30,58.2
2026-03-04 07:01:40,56.5
2026-03-04 07:01:50,57.2
2026-03-04 07:02:00,57.3
2026-03-04 07:02:10,58.0
2026-03-04 07:02:20,58.7
2026-03-04 07:02:30,59.6
2026-03-04 07:02:40,60.4
2026-03-04 07:02:50,62.8
2026-03-04 07:03:00,61.4
2026-03-04 07:03:10,62.8
2026-03-04 07:03:20,64.5
2026-03-04 07:03:30,65.9
2026-03-04 07:03:40,64.6
2026-03-04 07:03:50,67.0
2026-03-04 07:04:00,67.3
2026-03-04 07:04:10,67.7
2026-03-04 07:04:20,67.5
2026-03-04 07:04:30,68.7
2026-03-04 07:04:40,68.8
2026-03-04 07:04:50,66.9
2026-03-04 07:05:00,65.5
2026-03-04 07:05:10,65.1
2026-03-04 07:05:20,63.2
2026-03-04 07:05:30,63.1
2026-03-04 07:05:40,61.2
2026-03-04 07:05:50,62.5
2026-03-04 07:06:00,63.1
2026-03-04 07:06:10,62.3
2026-03-04 07:06:20,62.9
2026-03-04 07:06:30,62.5
2026-03-04 07:06:40,62.8
2026-03-04 07:06:50,64.2
2026-03-04 07:07:00,64.7
2026-03-04 07:07:10,63.9
2026-03-04 07:07:20,63.3
2026-03-04 07:07:30,63.5
2026-03-04 07:07:40,65.7
2026-03-04 07:07:50,64.9
2026-03-04 07:08:00,68.2
2026-03-04 07:08:10,68.5
2026-03-04 07:08:20,69.1
2026-03-04 07:08:30,68.7
2026-03-04 07:08:40,69.4
2026-03-04 07:08:50,69.9
2026-03-04 07:09:00,66.9
2026-03-04 07:09:10,66.2
2026-03-04 07:09:20,68.1
2026-03-04 07:09:30,68.1
2026-03-04 07:09:40,67.8
2026-03-04 07:09:50,68.6
2026-03-04 07:10:00,65.6
2026-03-04 07:10:10,68.4
2026-03-04 07:10:20,66.5
2026-03-04 07:10:30,64.1
2026-03-04 07:10:40,64.0
2026-03-04 07:10:50,63.8
2026-03-04 07:11:00,63.1
2026-03-04 07:11:10,62.9
2026-03-04 07:11:20,62.6
2026-03-04 07:11:30,62.1
2026-03-04 07:11:40,62.4
2026-03-04 07:11:50,60.5
2026-03-04 07:12:00,61.6
2026-03-04 07:12:10,62.7
2026-03-04 07:12:20,63.7
2026-03-04 07:12:30,62.7
2026-03-04 07:12:40,62.9
2026-03-04 07:12:50,66.8
2026-03-04 07:13:00,67.1
2026-03-04 07:13:10,66.2
2026-03-04 07:13:20,67.3
2026-03-04 07:13:30,66.7
2026-03-04 07:13:40,66.9
2026-03-04 07:13:50,68.5
2026-03-04 07:14:00,69.7
2026-03-04 07:14:10,70.0
2026-03-04 07:14:20,71.4
2026-03-04 07:14:30,72.6
2026-03-04 07:14:40,72.9
2026-03-04 07:14:50,74.5
2026-03-04 07:15:00,74.8
2026-03-04 07:15:10,75.6
2026-03-04 07:15:20,75.5
2026-03-04 07:15:30,76.4
2026-03-04 07:15:40,76.7
2026-03-04 07:15:50,77.6
2026-03-04 07:16:00,78.0
2026-03-04 07:16:10,77.4
2026-03-04 07:16:20,81.1
2026-03-04 07:16:30,80.5
2026-03-04 07:16:40,81.1
2026-03-04 07:16:50,82.2
2026-03-04 07:17:00,82.2
2026-03-04 07:17:10,82.9
2026-03-04 07:17:20,82.3
2026-03-04 07:17:30,83.0
2026-03-04 07:17:40,82.3
2026-03-04 07:17:50,82.2
2026-03-04 07:18:00,82.4
2026-03-04 07:18:10,84.6
2026-03-04 07:18:20,85.2
2026-03-04 07:18:30,85.8
2026-03-04 07:18:40,86.2
2026-03-04 07:18:50,85.6
2026-03-04 07:19:00,86.2
2026-03-04 07:19:10,87.4
2026-03-04 07:19:20,88.8
2026-03-04 07:19:30,90.6
2026-03-04 07:19:40,92.4
2026-03-04 07:19:50,93.5
2026-03-04 07:20:00,95.1
2026-03-04 07:20:10,97.7
2026-03-04 07:20:20,100.2
2026-03-04 07:20:30,102.5
2026-03-04 07:20:40,105.7
2026-03-04 07:20:50,106.9
2026-03-04 07:21:00,108.1
2026-03-04 07:21:10,110.7
2026-03-04 07:21:20,110.6
2026-03-04 07:21:30,112.1
2026-03-04 07:21:40,114.9
2026-03-04 07:21:50,115.0
2026-03-04 07:22:00,116.8
2026-03-04 07:22:10,119.0
2026-03-04 07:22:20,120.1
2026-03-04 07:22:30,122.2
2026-03-04 07:22:40,123.8
2026-03-04 07:22:50,124.4
2026-03-04 07:23:00,126.0
2026-03-04 07:23:10,127.2
2026-03-04 07:23:20,129.2
2026-03-04 07:23:30,130.3
2026-03-04 07:23:40,130.4
2026-03-04 07:23:50,131.4
2026-03-04 07:24:00,133.4
2026-03-04 07:24:10,134.2
2026-03-04 07:24:20,134.9
2026-03-04 07:24:30,136.3
2026-03-04 07:24:40,136.6
2026-03-04 07:24:50,139.1
2026-03-04 07:25:00,139.4
2026-03-04 07:25:10,140.6
2026-03-04 07:25:20,142.1
2026-03-04 07:25:30,141.9
2026-03-04 07:25:40,141.5
2026-03-04 07:25:50,142.9
2026-03-04 07:26:00,143.5
2026-03-04 07:26:10,143.8
2026-03-04 07:26:20,145.6
2026-03-04 07:26:30,146.5
2026-03-04 07:26:40,147.2
2026-03-04 07:26:50,146.7
2026-03-04 07:27:00,147.1
2026-03-04 07:27:10,148.0
2026-03-04 07:27:20,149.0
2026-03-04 07:27:30,148.5
2026-03-04 07:27:40,147.4
2026-03-04 07:27:50,148.2
2026-03-04 07:28:00,149.1
2026-03-04 07:28:10,149.8
2026-03-04 07:28:20,149.2
2026-03-04 07:28:30,149.0
2026-03-04 07:28:40,149.0
2026-03-04 07:28:50,148.2
2026-03-04 07:29:00,149.2
2026-03-04 07:29:10,150.0
2026-03-04 07:29:20,150.1
2026-03-04 07:29:30,150.3
2026-03-04 07:29:40,149.2
2026-03-04 07:29:50,148.9
2026-03-04 07:30:00,149.9
2026-03-04 07:30:10,150.4
2026-03-04 07:30:20,150.6
2026-03-04 07:30:30,149.5
2026-03-04 07:30:40,149.9
2026-03-04 07:30:50,150.5
2026-03-04 07:31:00,151.6
2026-03-04 07:31:10,152.3
2026-03-04 07:31:20,152.4
2026-03-04 07:31:30,152.4
2026-03-04 07:31:40,152.1
2026-03-04 07:31:50,152.5
2026-03-04 07:32:00,152.5
2026-03-04 07:32:10,152.7
2026-03-04 07:32:20,153.3
2026-03-04 07:32:30,153.7
2026-03-04 07:32:40,156.7
2026-03-04 07:32:50,159.3
2026-03-04 07:33:00,160.3
2026-03-04 07:33:10,166.7
2026-03-04 07:33:20,162.9
2026-03-04 07:33:30,164.0
2026-03-04 07:33:40,165.1
2026-03-04 07:33:50,167.1
2026-03-04 07:34:00,168.3
2026-03-04 07:34:10,168.3
2026-03-04 07:34:20,168.7
2026-03-04 07:34:30,168.2
2026-03-04 07:34:40,167.9
2026-03-04 07:34:50,167.1
2026-03-04 07:35:00,167.6
2026-03-04 07:35:10,166.9
2026-03-04 07:35:20,165.2
2026-03-04 07:35:30,164.9
2026-03-04 07:35:40,164.6
2026-03-04 07:35:50,163.9
2026-03-04 07:36:00,161.7
2026-03-04 07:36:10,160.0
2026-03-04 07:36:20,158.6
2026-03-04 07:36:30,155.9
2026-03-04 07:36:40,155.1
2026-03-04 07:36:50,154.2
2026-03-04 07:37:00,153.3
2026-03-04 07:37:10,154.2
2026-03-04 07:37:20,153.1
2026-03-04 07:37:30,153.1
2026-03-04 07:37:40,151.8
2026-03-04 07:37:50,150.1
2026-03-04 07:38:00,149.5
2026-03-04 07:38:10,150.3
2026-03-04 07:38:20,150.6
2026-03-04 07:38:30,150.3
2026-03-04 07:38:40,149.6
2026-03-04 07:38:50,150.5
2026-03-04 07:39:00,151.1
2026-03-04 07:39:10,150.4
2026-03-04 07:39:20,151.0
2026-03-04 07:39:30,151.0
2026-03-04 07:39:40,150.0
2026-03-04 07:39:50,150.3
2026-03-04 07:40:00,152.2
2026-03-04 07:40:10,152.3
2026-03-04 07:40:20,152.0
2026-03-04 07:40:30,152.7
2026-03-04 07:40:40,152.9
2026-03-04 07:40:50,154.2
